TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
886.47363,886.568,870.466,874.4051,897.799,901.06195
863.08,862.8965,847.59344,850.6863,876.01855,879.7371
852.66,852.32544,834.75946,839.6654,866.11554,869.772
851.80585,851.94836,835.8463,839.2928,863.3127,867.2127
871.26697,871.0862,855.8798,859.8541,883.60754,887.0903
915.4305,915.6035,896.8867,902.0444,928.9747,932.6741
985.7052,985.7855,969.9969,973.485,997.4285,1000.99207
993.10895,993.4978,977.1598,980.8986,1004.4734,1009.0203
913.4669,913.4795,897.53674,901.41907,925.5853,929.29584
801.0541,800.59467,785.4437,788.7795,813.5427,817.0876
712.37573,712.3182,695.8863,700.81067,724.31995,726.8487
650.48486,650.5604,634.82764,638.63165,662.34265,666.2952
611.8894,612.26825,596.04944,600.10724,624.11414,627.368
586.3534,586.0885,571.2894,574.0208,598.5133,602.7784
588.5981,588.77277,572.03766,575.91174,600.9092,604.10516
625.1254,624.8782,610.1783,613.05695,637.31885,640.2895
710.613,710.8878,694.2712,698.0934,723.2306,726.3324
834.5493,834.5808,817.3686,821.62054,847.2827,851.0187
945.50995,945.33154,928.9602,933.83044,957.50604,961.4925
1038.807,1038.811,1022.50134,1026.7325,1051.5669,1055.2378
1047.2906,1046.8933,1032.1573,1035.6016,1060.3682,1063.8562
996.5284,996.5659,979.49225,983.6703,1008.9813,1012.5544
930.55206,930.34564,915.3583,918.5812,942.73346,947.31854
871.6696,871.8359,855.7611,859.36896,883.5601,886.4981
829.2294,828.9385,812.9577,817.4841,841.1881,845.6564
797.2431,797.5641,780.8551,784.4668,809.8763,814.2741
782.2909,782.3843,766.05585,769.7363,794.61743,798.11554
778.2516,778.6361,761.91846,765.2372,791.16235,794.56134
787.38165,787.13855,771.206,775.77057,799.9998,803.6589
822.1892,822.5144,804.82684,809.05585,834.72394,838.1316
882.85767,883.00366,867.4495,870.4931,895.0248,898.7792
914.57715,914.46893,898.78986,903.2961,926.1769,930.2526
917.34906,917.66327,901.744,904.3835,929.7974,932.63696
846.7139,846.6625,830.6857,834.4287,859.03723,863.34924
759.536,759.7471,744.34564,747.69556,770.74054,774.4584
660.6974,660.7156,645.2022,648.4801,672.78033,676.522
680.8644,680.65857,664.72815,668.33636,692.9454,696.64
684.98975,685.09973,669.0138,672.654,696.975,701.00146
748.9344,749.09937,732.7815,736.4186,761.73694,764.45636
721.77747,721.97046,705.7609,709.41266,733.0514,737.1401
748.1328,748.21204,732.7294,736.1819,760.2323,763.8707
833.7944,833.93384,818.29517,821.6958,845.6346,848.95795
913.829,913.9433,897.09827,901.9996,926.41504,929.6461
995.0533,994.8927,979.91046,982.95667,1006.84125,1010.04755
1005.1092,1005.3336,989.2842,992.92725,1017.4395,1020.8971
956.93866,956.41516,941.6913,945.19037,968.9758,972.71844
901.65186,901.6029,885.6038,889.2576,914.1636,917.90497
843.3986,843.5609,827.5848,831.0369,855.9333,860.1074
794.2452,794.44275,778.0755,782.13495,806.3678,809.843
762.8031,762.5761,747.05304,750.5641,775.87897,779.83057
739.40173,739.53455,723.85376,727.4771,751.2504,754.7163
739.1677,739.19904,724.1381,727.1202,750.9201,754.65
739.5841,739.9061,723.1882,726.91656,752.14453,756.6948
761.891,762.1603,745.0633,749.15344,774.4424,778.3243
787.5631,787.5454,771.53564,774.87933,799.94855,803.3009
807.9042,807.73584,792.9103,796.57355,819.8074,822.97473
845.30347,845.2578,828.25433,833.1831,857.5632,861.5883
910.9974,910.68884,895.64166,898.8649,923.2983,927.1384
923.8205,923.6316,908.22107,911.88245,935.8797,939.58777
979.45953,979.4627,962.58514,966.499,991.8263,996.4972
1001.2,1001.1664,985.5208,989.22235,1012.57166,1017.1497
1002.74994,1002.4045,987.7006,990.82025,1015.5629,1019.1144
984.1267,984.01636,968.209,972.4065,996.2913,999.5522
990.71545,990.87885,974.77856,978.31433,1003.2221,1006.34906
1011.026,1010.7197,995.1354,999.1993,1024.1421,1027.311
1040.1423,1040.02,1024.6411,1027.9379,1052.467,1056.0974
1050.4843,1050.5908,1034.4338,1037.6436,1063.048,1066.5176
1072.9647,1072.9841,1057.239,1061.4052,1085.3582,1089.3854
1038.4363,1038.3779,1023.73627,1026.4172,1049.6323,1053.8286
986.06506,986.0135,970.6428,973.8484,998.62823,1002.04736
926.2889,926.15564,910.7991,914.1397,938.7337,942.3935
870.6561,870.6571,854.8464,858.5395,882.6839,886.0242
825.0913,824.57227,809.1901,812.41693,837.6033,841.6108
787.3352,787.02203,771.82806,775.16144,799.744,802.9482
770.086,769.7757,753.50775,757.55414,783.41016,786.9857
755.14465,755.0214,739.23236,743.3499,767.50684,771.3648
761.8895,761.9822,746.0516,749.7185,773.9616,776.92365
768.0007,767.82886,751.6611,754.7277,780.50024,783.8342
797.2438,797.33997,781.10126,784.5835,809.28345,813.1034
804.59015,804.6759,788.34827,792.2949,816.68933,820.4206
827.9895,828.0151,812.11084,815.6453,840.0019,843.98083
869.7276,869.2931,853.5833,857.2471,882.36633,885.2762
891.0382,891.07526,874.3433,878.25714,903.7028,907.72784
869.9491,870.13385,853.8537,857.3863,882.93207,886.4093
874.1701,874.1286,857.10443,861.98035,886.15826,889.87317
893.7387,893.82764,878.24066,881.61115,906.0406,909.516
825.393,825.1184,809.59424,813.66394,837.451,841.00916
853.2092,853.22314,837.5587,841.44183,865.8819,869.5314
920.61237,920.48035,904.10406,908.02844,933.273,936.5843
960.33777,960.31366,944.5876,948.10645,972.65173,976.4435
986.6269,986.7158,970.4996,974.07275,999.11334,1002.67126
1029.8616,1030.2578,1012.9449,1016.65436,1042.1711,1046.3243
1024.4053,1024.4111,1008.96136,1011.9433,1037.1768,1040.6401
967.0668,966.99634,950.17596,954.10406,979.5489,982.98486
911.2723,911.1791,894.7731,899.01117,923.63464,928.1849
853.1996,853.1432,837.4865,840.97754,865.93524,869.3874
802.99713,803.07886,787.01245,790.23083,815.9354,819.0348
776.7194,776.99994,760.58887,764.35895,788.60474,791.86676
765.38257,765.2177,749.15753,752.8213,777.82623,780.6819
762.6529,762.86163,746.7707,750.33887,774.6289,778.71844
775.495,775.359,760.11804,763.41754,787.6793,791.1465
818.0931,817.97034,803.2071,805.9349,830.4383,833.2465
882.0662,881.91974,866.975,870.32385,894.56854,898.3396
918.2808,917.8506,903.3898,906.3764,930.582,934.4313
946.7809,946.63367,931.07935,933.95013,959.6371,962.4581
945.15857,945.0707,929.00323,932.97253,957.29565,961.458
927.0521,926.8852,911.60284,914.8717,939.1441,942.9053
892.38007,892.0858,876.7473,879.90875,905.0173,909.0725
817.689,817.8271,800.8213,805.1147,830.3755,834.05963
718.2339,718.1619,702.518,706.06,730.0405,733.60236
755.2773,755.38477,739.95087,742.68976,767.04486,771.14233
822.5717,822.633,805.96906,810.00336,834.72473,837.7935
932.6249,932.4127,916.547,920.8462,945.08167,947.96594
999.2588,999.3086,983.277,986.6511,1011.4797,1014.93744
1027.249,1026.8936,1011.4118,1015.73846,1039.1997,1042.831
1059.2302,1059.5792,1043.0692,1046.3502,1071.6792,1075.7667
1062.7224,1062.6589,1045.5448,1049.8147,1075.3258,1078.1338
1007.8785,1007.7101,991.68805,995.4633,1020.37524,1024.9387
946.9451,947.2243,932.1807,935.1501,958.8441,962.2213
881.7579,881.401,866.25415,869.9932,894.3993,898.65247
838.0675,838.1846,821.34454,826.19305,850.4435,853.375
811.53217,811.61206,796.0792,799.6944,823.22235,827.77185
793.9114,793.6994,778.9739,782.6708,805.8239,809.4156
791.8561,791.7328,776.0272,779.41425,804.75006,807.73535
803.4636,803.82544,787.18726,790.92084,815.5127,819.1921
841.9963,842.1042,827.0224,829.85095,854.1603,857.1086
901.08374,901.0187,884.9029,889.32355,913.03174,916.7897
941.82513,941.7891,925.57764,929.495,954.345,957.7071
983.3396,983.55975,967.698,971.1791,995.41016,999.25287
1004.50085,1004.8418,988.54034,992.689,1015.98016,1019.07587
997.07465,997.22845,979.43396,983.9424,1010.6116,1013.7793
978.36224,978.557,962.8473,966.44147,990.2544,994.27435
965.81683,965.78516,950.0173,953.6061,978.43665,981.3117
954.40894,954.37573,938.65643,942.1763,966.86725,969.7435
963.2191,963.0105,947.8919,950.54865,975.3227,979.1407
957.86774,957.9087,941.47723,944.89087,970.8528,974.3218
997.83386,997.9713,982.03656,985.5007,1009.7096,1013.62714
1055.7164,1055.77,1039.6672,1042.9744,1067.7269,1071.4706
1083.0375,1083.1709,1067.1151,1070.593,1095.2399,1098.7842
1125.3425,1125.0825,1108.7767,1112.5299,1138.229,1142.028
