,TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
0,1143.7046,1143.7006,1122.7921,1128.5287,1158.9321,1164.4131
1,1100.5618,1100.5525,1081.5872,1085.0526,1116.3892,1120.865
2,1059.6232,1059.9661,1037.4193,1043.242,1075.9677,1080.6788
3,1053.7046,1053.4199,1032.3469,1038.6218,1068.2477,1073.7212
4,1044.9944,1045.2456,1024.416,1029.538,1060.0345,1064.2136
5,1069.9944,1070.3027,1050.1288,1055.3832,1085.2,1088.9457
6,1072.0209,1072.2554,1051.417,1056.755,1088.586,1093.6573
7,1067.6586,1067.9917,1046.4373,1051.358,1083.4136,1088.0664
8,1076.1843,1076.0068,1057.2349,1061.4329,1091.523,1095.3613
9,1085.99,1086.4006,1066.9658,1070.5564,1099.9583,1105.157
10,1087.1481,1087.2058,1067.765,1072.5901,1102.0502,1105.8467
11,1106.1985,1106.3922,1087.5768,1091.9824,1120.717,1124.3027
12,1109.9554,1110.1984,1090.7565,1095.7903,1124.1356,1127.5807
13,1123.7777,1123.665,1106.5902,1110.2434,1137.7374,1142.4211
14,1133.6683,1133.2974,1114.618,1119.3726,1148.4689,1153.4668
15,1136.8075,1136.883,1117.4979,1122.1671,1151.5607,1155.7069
16,1155.2767,1155.2703,1136.3901,1140.742,1169.789,1174.1208
17,1194.0634,1194.4819,1173.3724,1178.3218,1209.6466,1213.1638
18,1160.8491,1160.7112,1142.6271,1147.3771,1174.8317,1179.4064
19,1158.1798,1157.9769,1137.9695,1143.0327,1172.8075,1178.1536
20,1152.8296,1152.5767,1132.435,1137.55,1168.8799,1173.9265
21,1144.4698,1144.5571,1125.4045,1129.9846,1160.2028,1163.7131
22,1103.7815,1103.8363,1084.5645,1089.1028,1118.6738,1124.2355
23,1091.3064,1091.2148,1071.0045,1075.6428,1106.8906,1110.6539
24,1051.1444,1051.2554,1031.5868,1036.8557,1065.2428,1070.1445
25,1016.42175,1016.26416,996.1768,1001.1716,1032.5144,1037.2167
26,1021.34485,1021.5886,1002.7765,1006.32574,1035.3585,1039.9812
27,1014.577,1014.301,996.19116,999.84155,1030.504,1034.4526
28,1037.2471,1036.7053,1017.10754,1021.7059,1052.837,1057.9462
29,1039.7816,1039.877,1018.6461,1024.7384,1056.4329,1060.2882
30,1056.0236,1055.8967,1035.8741,1040.8618,1071.2306,1074.7478
31,1074.3086,1074.4747,1053.846,1059.229,1089.3846,1094.4745
32,1075.859,1075.4937,1056.5837,1060.874,1091.1893,1096.3942
33,1088.1255,1088.4067,1068.984,1073.4237,1103.2325,1106.8313
34,1093.3757,1093.3545,1075.2592,1078.9408,1107.8536,1111.8274
35,1094.9893,1094.7461,1075.5525,1081.0867,1110.0249,1113.7554
36,1087.6622,1088.1833,1067.3995,1071.8684,1102.794,1106.8024
37,1096.8187,1096.8591,1077.4985,1082.2697,1111.4823,1115.781
38,1107.528,1107.7288,1088.23,1093.6941,1121.3728,1125.9669
39,1102.2921,1102.8523,1083.2291,1087.8152,1116.1555,1120.0206
40,1147.9154,1147.9601,1128.652,1133.4623,1162.1655,1167.5579
41,1183.7449,1183.5352,1166.3726,1169.5491,1198.2137,1202.4574
42,1192.0464,1191.7368,1173.9438,1178.7682,1206.4539,1210.2153
43,1170.9471,1170.3871,1149.7977,1154.206,1187.6793,1193.9492
44,1136.8615,1137.0286,1118.2357,1122.8436,1151.0272,1155.419
45,1143.8053,1143.4198,1123.2206,1128.7454,1159.37,1164.2849
46,1110.6456,1110.9033,1091.6113,1095.6672,1125.9833,1129.6486
47,1105.9827,1106.2319,1087.3663,1091.5786,1120.3269,1125.443
48,1089.0204,1089.2728,1068.4154,1073.949,1103.877,1109.3196
49,1078.0305,1077.7747,1060.1787,1063.525,1092.8174,1097.0328
50,1085.9418,1085.876,1067.5765,1071.4531,1099.987,1103.5708
51,1099.635,1099.2927,1081.5806,1085.7723,1113.8386,1119.5118
52,1104.1804,1104.0945,1083.2069,1088.7932,1120.0447,1125.4558
53,1120.1952,1119.7827,1100.892,1105.1476,1135.5364,1140.2057
54,1157.5085,1157.8518,1137.8899,1142.0092,1172.2971,1176.8458
55,1200.4747,1201.0579,1180.0621,1185.212,1214.9642,1219.7753
56,1221.2622,1221.6555,1201.5862,1206.7502,1236.1238,1240.0085
57,1244.8303,1244.8732,1226.2429,1230.6394,1259.3779,1263.5558
58,1220.6565,1220.6301,1202.3298,1207.003,1233.7916,1237.9602
59,1226.428,1226.5037,1207.8239,1212.9159,1240.3091,1245.1348
60,1251.3584,1251.3926,1229.1494,1234.6948,1266.676,1272.7275
61,1221.9424,1221.4861,1202.5139,1207.8798,1236.951,1242.2448
62,1219.5918,1219.4305,1201.0176,1205.6002,1233.9221,1237.8795
63,1217.2695,1217.4731,1197.6796,1202.3191,1231.5363,1236.1057
64,1281.9735,1281.9302,1262.4185,1267.4882,1297.0688,1302.5082
